Freq.	V(out)
2.00000000000000e+05	(-7.89068626902561e+01dB,-5.95015715348552e+01°)
4.00000000000000e+05	(-7.75978532502298e+01dB,7.61050648299113e+01°)
6.00000000000000e+05	(-7.90897162121876e+01dB,-1.27009205418648e+02°)
8.00000000000000e+05	(-9.44449881781186e+01dB,3.98842438112031e+01°)
1.00000000000000e+06	(-8.15337162750111e+01dB,4.17748223878604e+01°)
1.20000000000000e+06	(-7.93835300577514e+01dB,-1.48961127128533e+02°)
1.40000000000000e+06	(-8.22850302594927e+01dB,4.05222842168641e-01°)
1.60000000000000e+06	(-8.18738628128821e+01dB,1.70368246060375e+02°)
1.80000000000000e+06	(-7.96557804044540e+01dB,1.41767077985474e+01°)
2.00000000000000e+06	(-8.07485351361735e+01dB,-1.49820650619446e+02°)
2.20000000000000e+06	(-8.99111557436908e+01dB,5.41719432987231e+01°)
2.40000000000000e+06	(-9.01385212599687e+01dB,1.25211014924342e+01°)
2.60000000000000e+06	(-8.42556164046861e+01dB,1.78704782580407e+02°)
2.80000000000000e+06	(-8.11268743865512e+01dB,-3.93117991294676e+01°)
3.00000000000000e+06	(-8.23943431314295e+01dB,1.30139778128830e+02°)
3.20000000000000e+06	(-8.77378397021756e+01dB,1.29693185882490e+01°)
3.40000000000000e+06	(-9.12810390656235e+01dB,-1.33642435959362e+02°)
3.60000000000000e+06	(-8.41407981693259e+01dB,-1.37583952970136e+02°)
3.80000000000000e+06	(-8.01447435599328e+01dB,3.88145824194441e+01°)
4.00000000000000e+06	(-8.84694999415095e+01dB,-1.48280836384321e+02°)
4.20000000000000e+06	(-9.51264462345708e+01dB,-1.00226844634494e+02°)
4.40000000000000e+06	(-9.54300743453082e+01dB,9.37425472358427e+01°)
4.60000000000000e+06	(-9.53842680379482e+01dB,-1.70465488241848e+02°)
4.80000000000000e+06	(-8.32420845118220e+01dB,5.45077887162720e+00°)
5.00000000000000e+06	(-8.01938224654211e+01dB,-1.73274251500427e+02°)
5.20000000000000e+06	(-8.23106991787574e+01dB,-6.04174494875461e+00°)
5.40000000000000e+06	(-8.40902145485351e+01dB,1.59018369445575e+02°)
5.60000000000000e+06	(-8.41370743675456e+01dB,-1.90428671770041e+01°)
5.80000000000000e+06	(-8.83824893149095e+01dB,1.16431443588565e+02°)
6.00000000000000e+06	(-8.31329326559745e+01dB,-1.35323970581162e+02°)
6.20000000000000e+06	(-8.18329245107949e+01dB,3.40565093282429e+01°)
