Freq.	V(out)
0.00000000000000e+00	(-1.07279009619043e+02dB,0.00000000000000e+00°)
2.00000000000000e+05	(-1.05389707515453e+02dB,5.36236781668255e+01°)
4.00000000000000e+05	(-1.02763984127485e+02dB,-4.98469394856618e+01°)
6.00000000000000e+05	(-9.98055867008882e+01dB,-1.67350826117502e+00°)
8.00000000000000e+05	(-1.05889415662788e+02dB,1.02061375334895e+02°)
1.00000000000000e+06	(-1.02396837310528e+02dB,1.51857464496060e+01°)
1.20000000000000e+06	(-1.08573640448988e+02dB,-3.02590054843462e+01°)
1.40000000000000e+06	(-1.03692176378851e+02dB,1.33588098697505e+02°)
1.60000000000000e+06	(-1.03614851351034e+02dB,-3.03292393541619e+01°)
1.80000000000000e+06	(-1.09121321391362e+02dB,-5.03413008058123e+01°)
2.00000000000000e+06	(-9.55123154909422e+01dB,-5.37151360239165e+01°)
2.20000000000000e+06	(-1.00495320026565e+02dB,2.42865744619104e+01°)
2.40000000000000e+06	(-1.04712259438723e+02dB,7.58875596265288e+00°)
2.60000000000000e+06	(-9.40365079134891e+01dB,-9.14892138669889e+01°)
2.80000000000000e+06	(-9.27286189626957e+01dB,-9.34874924530033e+01°)
3.00000000000000e+06	(-1.00245478294543e+02dB,1.91947579616354e+01°)
3.20000000000000e+06	(-9.79273491144073e+01dB,1.13950575388166e+02°)
3.40000000000000e+06	(-9.77916149698467e+01dB,9.87839927637602e+00°)
3.60000000000000e+06	(-9.55462976379543e+01dB,4.91076575023751e+01°)
3.80000000000000e+06	(-1.02327488111513e+02dB,1.15664629832508e+02°)
4.00000000000000e+06	(-9.43218822730077e+01dB,-5.21571476185675e+01°)
4.20000000000000e+06	(-9.36399474709663e+01dB,-1.67912111166616e+01°)
4.40000000000000e+06	(-1.04283110762312e+02dB,1.65862965196806e+01°)
4.60000000000000e+06	(-9.95476490222079e+01dB,1.04454557604623e+02°)
4.80000000000000e+06	(-9.53016447616251e+01dB,5.96061983060686e+01°)
5.00000000000000e+06	(-1.01230609593541e+02dB,-7.30753784633799e+01°)
5.20000000000000e+06	(-1.00606250795271e+02dB,-1.53947767378077e+02°)
5.40000000000000e+06	(-1.15522912761963e+02dB,-9.24304365427174e+01°)
5.60000000000000e+06	(-1.09838788850061e+02dB,1.27967746821949e+02°)
5.80000000000000e+06	(-1.01187342270810e+02dB,-1.06367195952159e+02°)
6.00000000000000e+06	(-1.00567773726924e+02dB,-1.38075532669692e+02°)
6.20000000000000e+06	(-1.06285807493501e+02dB,-9.52238866572773e+00°)
6.40000000000000e+06	(-1.06575229472706e+02dB,-5.89357260720092e+01°)
6.60000000000000e+06	(-1.04890249750017e+02dB,-2.85919872552843e+00°)
6.80000000000000e+06	(-9.66570549328256e+01dB,-1.66890023139658e+02°)
7.00000000000000e+06	(-1.11623221787934e+02dB,-2.42562756472168e+01°)
7.20000000000000e+06	(-1.12353466702322e+02dB,8.33730842660413e+01°)
7.40000000000000e+06	(-1.03754356343603e+02dB,-5.70674920434327e+01°)
7.60000000000000e+06	(-1.00913988649868e+02dB,-1.75758225889088e+01°)
7.80000000000000e+06	(-1.14022788279775e+02dB,-1.66157381858869e+02°)
8.00000000000000e+06	(-9.72684979533809e+01dB,-3.48040516447281e+01°)
8.20000000000000e+06	(-1.01623692751944e+02dB,3.32344786848849e+01°)
8.40000000000000e+06	(-1.04765641663321e+02dB,-2.66024647895828e+01°)
8.60000000000000e+06	(-9.75449773991921e+01dB,3.02221236410667e+01°)
8.80000000000000e+06	(-1.08295922069736e+02dB,6.25232788115865e+01°)
9.00000000000000e+06	(-9.96842343620650e+01dB,-8.41514317591774e+01°)
9.20000000000000e+06	(-1.02214025596468e+02dB,-6.56113193619464e+01°)
9.40000000000000e+06	(-9.70676263241364e+01dB,-4.79120465581194e+00°)
9.60000000000000e+06	(-1.08680751610824e+02dB,-8.82972916400701e+01°)
9.80000000000000e+06	(-1.03068841006310e+02dB,-3.42357506060060e+01°)
1.00000000000000e+07	(-1.09973921130198e+02dB,7.20316719614717e+01°)
1.02000000000000e+07	(-1.11672518382762e+02dB,-6.47613728267724e-01°)
1.04000000000000e+07	(-1.06439546448576e+02dB,-2.93893916378129e+01°)
1.06000000000000e+07	(-9.95636346380382e+01dB,-8.83632299814328e+01°)
1.08000000000000e+07	(-9.90142154008481e+01dB,-3.57788452702630e+01°)
1.10000000000000e+07	(-9.24231369603883e+01dB,-1.37547705981427e+01°)
1.12000000000000e+07	(-1.08934533964965e+02dB,-6.06527162121004e+01°)
1.14000000000000e+07	(-9.88102740484045e+01dB,-5.40625023781319e+01°)
1.16000000000000e+07	(-9.05059915287501e+01dB,1.76774500105412e+01°)
1.18000000000000e+07	(-1.02760327149763e+02dB,-9.59526614913142e+01°)
1.20000000000000e+07	(-9.57228123027851e+01dB,-1.21985596970513e+02°)
1.22000000000000e+07	(-9.71507556195427e+01dB,-6.14314393358482e+01°)
1.24000000000000e+07	(-9.77793113075193e+01dB,-5.01390872463544e+01°)
1.26000000000000e+07	(-9.61013194672156e+01dB,-1.52907020042451e+01°)
1.28000000000000e+07	(-1.12055072916655e+02dB,1.56196951993424e+02°)
1.30000000000000e+07	(-9.84298912841428e+01dB,-9.94688325306780e+01°)
1.32000000000000e+07	(-9.55231956073185e+01dB,-3.24095603031144e+01°)
1.34000000000000e+07	(-9.72182439447928e+01dB,-4.97847785461179e+00°)
1.36000000000000e+07	(-1.11103108437947e+02dB,2.74998640471785e+01°)
1.38000000000000e+07	(-1.02470925935608e+02dB,-1.28727788596161e+02°)
1.40000000000000e+07	(-1.01455949621961e+02dB,-5.01046575767434e+01°)
1.42000000000000e+07	(-1.03503141723219e+02dB,-5.03499552135152e+01°)
1.44000000000000e+07	(-9.83671613051907e+01dB,-1.64626849610236e+01°)
1.46000000000000e+07	(-1.04413213682897e+02dB,-1.34296673530036e+02°)
1.48000000000000e+07	(-9.78166398991353e+01dB,-1.25217247629797e+02°)
1.50000000000000e+07	(-9.53661638890805e+01dB,-4.69410820914190e+01°)
1.52000000000000e+07	(-1.06136616172614e+02dB,-5.16335521673033e+01°)
1.54000000000000e+07	(-9.80884699842820e+01dB,-5.29395679124561e+01°)
1.56000000000000e+07	(-9.89941013137158e+01dB,-5.43312920090446e+01°)
1.58000000000000e+07	(-9.70255258896688e+01dB,1.60940754804883e+01°)
1.60000000000000e+07	(-9.86601125684229e+01dB,-4.55533687777982e+01°)
1.62000000000000e+07	(-1.01187277605397e+02dB,-1.11552071212713e+01°)
1.64000000000000e+07	(-1.06059966893176e+02dB,-8.25647206530454e+01°)
1.66000000000000e+07	(-1.01070357881387e+02dB,-9.77632914982507e+01°)
1.68000000000000e+07	(-1.01332285197800e+02dB,-3.78901534463312e+01°)
1.70000000000000e+07	(-9.66902538033584e+01dB,-5.71798029687220e+01°)
1.72000000000000e+07	(-9.32303351787946e+01dB,-4.38709621733229e+01°)
1.74000000000000e+07	(-9.32601600134915e+01dB,-2.02529356779765e+01°)
1.76000000000000e+07	(-1.01437509490536e+02dB,-6.94352845684027e+01°)
